"","lambda0.clone64","lambda1.clone64","mu0.clone64","mu1.clone64","q01.clone64","q10.clone64"
"28",0.168364198673147,0.0769565514187199,0.0654126413713961,0.000119856037943189,0.0220200633087769,6.32769095650416e-05
"29",0.175954037026544,0.0768306820114203,0.066117929148013,1.81385036855141e-05,0.020928672147709,1.78984687944373e-05
"30",0.170416386511553,0.077971962893446,0.0674244122172303,5.38597943909673e-05,0.0207617351043904,1.74469554224094e-06
"31",0.169203514652474,0.0777510019402838,0.0644667607529631,4.39839605026084e-06,0.0220887009063115,5.57684507060694e-06
"32",0.169176247029697,0.0776543903343184,0.0626632966636402,9.79276139075258e-05,0.0220582276400252,1.51903750044117e-05
"33",0.171159108125062,0.0754869842006009,0.073767223015364,0.000250747105189248,0.0225895242020208,4.365603213739e-05
"34",0.181969625353862,0.0761939566542251,0.0781280915027859,0.00115532541777236,0.022549205825322,4.25411635439836e-06
"35",0.182178062743182,0.0797382890846956,0.0783667610134917,0.000561643970837915,0.0195133910227666,5.84931051629473e-05
"36",0.174065840974001,0.0739748654008655,0.0738485727699597,0.000632832092084833,0.0220687834121638,0.000116749739987079
"37",0.178527115112307,0.0738634496246351,0.0732728648061649,0.000272545220821812,0.0200938300973642,0.000102816018536747
"38",0.169526871288037,0.0772456627451298,0.0645743754246129,0.000183214044512402,0.0213751542474083,3.20459557388343e-05
"39",0.171046440295852,0.0800901645586243,0.0726496749849705,0.000613727530662919,0.0203909092576645,0.000139628563624899
"40",0.172465511907247,0.07731214052611,0.0677657186221696,0.000102151661942969,0.0196998948757378,6.8041591207462e-05
"41",0.174468403144081,0.0768730325002588,0.0704528638156516,6.88127007270817e-05,0.0202827668997984,6.88453923990183e-05
"42",0.177922778947103,0.0758400917402208,0.079466446924814,9.49572947837256e-05,0.020483565206503,1.08617046160102e-05
"43",0.181671612944177,0.0778185613908908,0.0814957470442933,0.000108325758856323,0.0208133345649601,3.4456385904716e-05
"44",0.177746733824784,0.0757387764393617,0.0709561629196741,0.000906786694591233,0.02291859034362,7.5486129679747e-06
"45",0.1732776211351,0.0790955559069837,0.0697663558451706,0.000719687504838863,0.0212931731508023,2.53291201487746e-06
"46",0.173671621704004,0.0803418317345331,0.0661128491913578,0.000159042382766359,0.0222816164224477,1.38862874544854e-05
"47",0.174711507732568,0.0719311265320326,0.0717334784278575,0.000791928974995706,0.0217950261752102,0.000162484602415878
"48",0.175854945607628,0.077965051603741,0.0763543641507538,5.17253551979254e-05,0.0204009398172732,2.66411077796777e-05
"49",0.176977364005249,0.0766330791271899,0.0754137683896013,3.02608025316107e-05,0.0197397906631346,6.92366975032188e-05
"50",0.178967351229258,0.0778046347898599,0.0836533631994817,7.06597323412141e-05,0.0201082380450435,0.000111915923355964
"51",0.185256919527375,0.0785578204491699,0.0844995376727256,0.000154100997072273,0.0212320881496732,4.31606161665824e-05
"52",0.183451145466084,0.076369387238742,0.0793400318616565,0.000153027460290633,0.0217830767084027,2.27898219324038e-05
"53",0.179888654094399,0.0736200933862101,0.0811265460820918,3.3126979661746e-05,0.0190047400592476,2.17175914816605e-05
"54",0.182366194792208,0.0737731513759535,0.0879046152088935,0.000172477114051935,0.0197136927364033,2.89001532180587e-05
