"","lambda0","lambda1","mu0","mu1","q01","q10"
"134",0.159487676370481,0.104072897438393,0.0227749366880595,0.0259025095078984,0.0337673126637185,0.00102843333627246
"135",0.134069717668266,0.0828878631908021,0.033100879326824,0.0188918913126538,0.0311203307156343,0.000331784029676974
"136",0.169149266820555,0.0747444898911224,0.0750450904085724,0.032449911180027,0.0268258965399571,0.003059638033586
"137",0.139178304955075,0.0724239888095202,0.0613927747846377,0.00601289342190123,0.0380067241790455,0.00568380981898627
"138",0.134952173930745,0.0796279638440114,0.0273399064195452,0.00774166217886317,0.040072682577375,0.0028482579505398
"139",0.179457241654165,0.079300186823732,0.0501921314447176,0.0278172278586603,0.0431168138451449,0.00055437929051789
"140",0.179293377637218,0.0883426311359796,0.0736084432521916,0.0395517129051834,0.0143970799832929,0.00346598733008744
"141",0.192128995743748,0.102211825380489,0.128218688814926,0.032544498739434,0.0306898846175606,0.00265282326771588
"142",0.212333003795231,0.0763115230625728,0.0638444072702375,0.0125100344593817,0.0280407752957477,0.000744906904357902
"143",0.212349529919474,0.0762026866556026,0.0666100627741595,0.00861272897793937,0.031659456149743,0.00172457356562905
"144",0.204561730289014,0.096235758685312,0.0561326076500678,0.0127123104532716,0.0208104220402125,0.00162130455488312
"145",0.196831757875585,0.10027928443113,0.117374166534341,0.0115352332565297,0.0201136847208552,0.00023946144368185
"146",0.204965233912489,0.087567662271072,0.125706053076599,0.0154328538667479,0.0280750167107629,0.00218834751096236
"147",0.231190958499986,0.0909319664968821,0.157542731859867,0.0218320452686438,0.0134135920835574,0.000741681355799938
"148",0.226867791546042,0.080345366255001,0.13784288035184,0.0113896453314623,0.0286031021163029,0.0212817567697488
"149",0.220081954082425,0.0679143194935271,0.127499531731004,0.0106561130870984,0.031427905466867,0.0263592032338184
"150",0.25114449614672,0.0869179304232562,0.0953327227767305,0.0106453782721415,0.0436067997964062,0.0264845129210142
"151",0.20372103025268,0.0751696434208679,0.126493857804163,0.0107208629473086,0.0222335568611789,0.0129535172802342
"152",0.178743713947386,0.0675659878442598,0.0326867639555917,0.00731951886052073,0.0492993919425184,0.00587023941222673
"153",0.169272761062275,0.0655259432352681,0.00412192853092585,0.00835268272613962,0.0600670601950711,0.0014468411637459
